selection_method,target_fpr,selected_threshold,val_threshold,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_fpr,val_tpr,val_tn,val_fp,val_fn,val_tp,test_threshold,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_fpr,test_tpr,test_tn,test_fp,test_fn,test_tp
best_val_f1,,0.52,0.52,0.999999999228243,0.9999999995124937,0.9999908535191085,0.9999837397052008,0.9999979674342313,2.5742096371973293e-05,0.9999979674342313,310767,8,1,491988,0.52,0.9936413790699634,0.9840496858461276,0.9500909019049878,0.973530745804445,0.9277532495600358,0.0063746449861115445,0.9277532495600358,636735,4085,11700,150245
target_fpr,0.001,0.0033177173646109035,0.0033177173646109035,0.999999999228243,0.9999999995124937,0.9996840358878337,0.9993682713792403,1.0,0.0010007239964604617,1.0,310464,311,0,491989,0.0033177173646109035,0.9936413790699634,0.9840496858461276,0.9128133208416914,0.8537423194155499,0.9806662755873908,0.04245654005805062,0.9806662755873908,613613,27207,3131,158814
target_fpr,0.005,0.00022600466278956466,0.00022600466278956466,0.999999999228243,0.9999999995124937,0.9984211605079074,0.996847298625252,1.0,0.005006837744348806,1.0,309219,1556,0,491989,0.00022600466278956466,0.9936413790699634,0.9840496858461276,0.8310429789383614,0.7131943430697296,0.9955478711908364,0.10117505695827221,0.9955478711908364,575985,64835,721,161224
target_fpr,0.01,5.2824295034599305e-05,5.2824295034599305e-05,0.999999999228243,0.9999999995124937,0.996841239352606,0.9937023714065848,1.0,0.010032982060976591,1.0,307657,3118,0,491989,5.2824295034599305e-05,0.9936413790699634,0.9840496858461276,0.684389118666296,0.5213719429391757,0.9957207693970175,0.23100402609157017,0.9957207693970175,492788,148032,693,161252
target_fpr,0.02,8.97286662738927e-06,8.97286662738927e-06,0.999999999228243,0.9999999995124937,0.9937184280315654,0.987515279732,1.0,0.020014479929209236,1.0,304555,6220,0,491989,8.97286662738927e-06,0.9936413790699634,0.9840496858461276,0.453643495789348,0.2936156671636906,0.9970730803667912,0.6062061109203832,0.9970730803667912,252351,388469,474,161471
