selection_method,target_fpr,threshold,fpr,recall,precision,f1,benign_fp_rate,seen_attack_detection_rate,unseen_attack_detection_rate,benign_count,seen_attack_count,unseen_attack_count
best_val_f1,,0.52,0.0063746449861115,0.9277532495600358,0.973530745804445,0.9500909019049876,0.0063746449861115,0.9999844766295658,0.6466608270154348,640820,128838,33107
target_fpr,0.001,0.0033177173646109,0.0424565400580506,0.9806662755873908,0.8537423194155499,0.9128133208416916,0.0424565400580506,1.0,0.905427855136376,640820,128838,33107
target_fpr,0.005,0.0002260046627895,0.1011750569582722,0.9955478711908364,0.7131943430697296,0.8310429789383615,0.1011750569582722,1.0,0.9782221282508232,640820,128838,33107
target_fpr,0.01,5.2824295034599305e-05,0.2310040260915701,0.9957207693970176,0.5213719429391757,0.6843891186662961,0.2310040260915701,1.0,0.9790678708430242,640820,128838,33107
target_fpr,0.02,8.97286662738927e-06,0.6062061109203832,0.9970730803667912,0.2936156671636906,0.453643495789348,0.6062061109203832,1.0,0.9856827861177394,640820,128838,33107
