selection_method,target_fpr,selected_threshold,val_pr_auc,val_roc_auc,val_f1,val_fpr,test_pr_auc,test_roc_auc,test_f1,test_fpr
best_val_f1,,0.52,0.9999999995124937,0.999999999228243,0.9999908535191085,2.5742096371973293e-05,0.9840496858461276,0.9936413790699634,0.9500909019049878,0.0063746449861115445
target_fpr,0.001,0.0033177173646109035,0.9999999995124937,0.999999999228243,0.9996840358878337,0.0010007239964604617,0.9840496858461276,0.9936413790699634,0.9128133208416914,0.04245654005805062
target_fpr,0.005,0.00022600466278956466,0.9999999995124937,0.999999999228243,0.9984211605079074,0.005006837744348806,0.9840496858461276,0.9936413790699634,0.8310429789383614,0.10117505695827221
target_fpr,0.01,5.2824295034599305e-05,0.9999999995124937,0.999999999228243,0.996841239352606,0.010032982060976591,0.9840496858461276,0.9936413790699634,0.684389118666296,0.23100402609157017
target_fpr,0.02,8.97286662738927e-06,0.9999999995124937,0.999999999228243,0.9937184280315654,0.020014479929209236,0.9840496858461276,0.9936413790699634,0.453643495789348,0.6062061109203832
