model,target_column,feature_count,known_test_row_count,excluded_unknown_row_count,excluded_unknown_labels,mapping_source,macro_f1,weighted_f1,accuracy,macro_precision,weighted_precision,roc_auc_ovr_macro,roc_auc_ovr_weighted
Random Forest,attack_cat,44,45288,44,Worms,label_encoder,0.5395422735697082,0.7909177574655044,0.7639330506977566,0.5606442237060834,0.824334208342105,0.9241736941818547,0.9471890157291192
LightGBM,attack_cat,44,45288,44,Worms,label_encoder,0.5315063780909879,0.786532065344621,0.7966569510687158,0.568980680017005,0.8173968138095216,0.9472083025414082,0.9672723593640588
XGBoost,attack_cat,42,45288,44,Worms,explicit_mapping,0.5287035660321829,0.7852780769825547,0.7959724430312666,0.5745414215984347,0.8226381068698367,0.9491908467147795,0.9673564385332553
