split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3505,7.298609924246764e-06,0.0,1.4643844852424533e-06,9.992407453713253e-06
val,1,3504,1.6855099232934546e-05,0.0,9.99548526788145e-06,2.7544845471565045e-05
val,2,3504,0.09374365515060608,0.09218036529680365,2.7547989873836703e-05,0.38925566023716185
val,3,3504,0.7378920712463604,0.7337328767123288,0.3896416701205708,0.948606324930346
val,4,3505,0.9868316647852937,0.9788873038516405,0.9486501204368407,0.9979511126663334
val,5,3504,0.9988517726058487,0.9991438356164384,0.9979513652482702,0.9995405078834233
val,6,3504,0.9998077043756308,1.0,0.9995420224501066,0.9999340390886529
val,7,3505,0.9999753064474117,1.0,0.9999341310963947,0.9999904028292688
val,8,3503,0.9999924713185215,1.0,0.9999904043452341,0.999994240458329
val,9,3505,0.9999956355051226,1.0,0.9999942440330404,0.9999982298961807
test,0,8234,7.577156501369385e-06,0.0,1.376759135738944e-06,1.0863543015031992e-05
test,1,8268,2.2316397204162198e-05,0.0,1.086435951860533e-05,4.117027595964561e-05
test,2,8198,0.0857927532459514,0.04000975847767748,4.117046536565826e-05,0.32287877070664683
test,3,8233,0.5408100653839533,0.16956152070934047,0.3228921880051713,0.7361122155075558
test,4,8236,0.8675546381243086,0.40699368625546384,0.7361568394373954,0.9632227976466129
test,5,8230,0.9899179271357894,0.8910085054678007,0.9632657507702113,0.9984028301389621
test,6,8233,0.9992831855558539,0.9987853759261509,0.9984030439509015,0.999801330670556
test,7,8236,0.9999141710494408,1.0,0.9998013711421861,0.9999726138401452
test,8,8232,0.9999851321642655,1.0,0.9999726192870811,0.999992705743159
test,9,8232,0.9999953714807986,1.0,0.9999927095236318,0.9999982298961807
