split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3564,0.2040392702025336,0.0,0.17892480221589552,0.2137765827795217
val,1,3650,0.2252731067671902,0.0,0.21390160310048087,0.2567579213972491
val,2,3303,0.3982277520527339,0.19406600060551013,0.2567763054751192,0.5032900664139778
val,3,3503,0.5231031614115642,0.7022552098201541,0.5033140051581501,0.5455507354964186
val,4,3503,0.5837315804996163,0.9249214958606908,0.545607149702822,0.611103337745336
val,5,3520,0.6289398789546413,0.9951704545454545,0.6111874130779366,0.6453930683342836
val,6,3589,0.6697475298337766,0.9997213708553915,0.6455097688405427,0.6984450077981051
val,7,10384,0.7755727118224496,1.0,0.6991058719707642,0.7882393265620029
val,8,27,0.794596509168159,1.0,0.7945965091681589,0.7945965091681589
test,0,8355,0.2031297154553019,0.0,0.16906779318053636,0.21247818307878505
test,1,8182,0.22766390469382192,0.0,0.2125546301343799,0.25909703713948296
test,2,8395,0.43265916480182753,0.10387135199523526,0.2591670295061103,0.4962996670479541
test,3,8002,0.5062199915759544,0.23656585853536616,0.4964115335597496,0.5179838127522579
test,4,8293,0.5334491574483713,0.4075726516339081,0.5180593939817905,0.560665391953798
test,5,8184,0.5911337052718116,0.7730938416422287,0.560686505826449,0.6190986985982234
test,6,8257,0.6397226800522621,0.9927334382947802,0.6191066869058842,0.6615551966522261
test,7,8314,0.6928276991489785,0.99987972095261,0.6616504030030865,0.7262658600777345
test,8,16038,0.7752686838987163,1.0,0.7285984098085788,0.7882393265620029
test,9,312,0.7945880807104897,1.0,0.794408674968671,0.7945965091681589
