config_name,fit_time_seconds,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,val_f1_at_0p5,val_fpr_at_0p5,test_f1_at_0p5,test_fpr_at_0p5,mean_val_f1_target_fprs,mean_test_f1_target_fprs,mean_abs_test_target_drift,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
xgb_v2_cfg_4,2.575554699999884,0.9972485779954143,0.9942079717167662,0.98907244536216,0.9851458163912612,0.9715904357244022,0.07544642857142857,0.8970214985804718,0.26056756756756755,0.9388850439320393,0.9345169593376171,0.04017117117117117,450,0.05,7,1,0.8,0.8,1.0,0.0
xgb_v2_cfg_1,3.060576100000162,0.9969689973999344,0.9936237911995732,0.9890483290638241,0.9851378886938646,0.970657350219394,0.08089285714285714,0.8976646628463615,0.25913513513513514,0.9342333057841584,0.9344854744884104,0.029837837837837836,500,0.04,6,2,0.85,0.85,1.5,0.0
xgb_v2_cfg_2,3.011461600000075,0.9967162222033048,0.9931065684148089,0.9889314245445524,0.9850266344280395,0.9694927943103125,0.08339285714285714,0.8985070125169657,0.25535135135135134,0.9301701906379534,0.932552726518327,0.024828828828828826,700,0.03,5,4,0.9,0.9,2.0,0.2
xgb_v2_cfg_3,1.529850599999918,0.9963432564177357,0.9923602390039603,0.9878022821596244,0.9835689933845431,0.9680327358079056,0.08910714285714286,0.8964312603523565,0.2603783783783784,0.926211336363123,0.9270339030714778,0.024018018018018016,350,0.06,4,3,0.9,0.9,2.0,0.3
