split,method,brier,logloss,ece
val,raw,0.026775516476930692,0.08410611204871092,0.011629666519484966
val,isotonic,0.02535553528448365,0.0800287733153946,4.887541192504149e-17
val,platt,0.025648733039947646,0.08141461135852866,0.0025802804641476985
test,raw,0.07570687595323235,0.23505992396666917,0.07886543208168673
test,isotonic,0.08753629760389331,0.2645495782943525,0.09772910936582445
test,platt,0.08647591211392441,0.2638715089908066,0.09663324492917764
