bin_index,mean_predicted_probability,fraction_of_positives
0,1.2324915255193428e-07,0.0
1,0.0011616872993424569,0.0008502368516944005
2,0.10189084924238159,0.1979837240374104
3,0.47821224065137846,0.3119154621644601
4,0.6180872323271039,0.3632940604882789
5,0.7732154721482135,0.6614842706182437
6,0.9678273521232901,0.9759592034968432
7,0.9962387269203817,0.9970838396111786
8,0.9986635795567158,0.999878743785619
9,0.9996186222187413,0.9975669099756691
