bin_index,mean_predicted_probability,fraction_of_positives
0,5.508082869010571e-07,0.0
1,0.0018566948794513565,0.0018219361107737156
2,0.10719097383972326,0.19992712255556905
3,0.4811370133341751,0.314952022349083
4,0.6171704799232646,0.36402283493258836
5,0.7708298767557725,0.6551682254342281
6,0.9618545221700496,0.9765634486945962
7,0.9944553667612107,0.9961141469338191
8,0.9979182803993827,0.9998784785514643
9,0.9993441491506251,0.9975710468787953
