model_key,model_name,train_rows,val_rows,test_rows,n_features_raw,val_roc_auc,val_pr_auc,val_log_loss,val_brier_score,val_f1_at_0p5,val_fpr_at_0p5,val_precision_at_0p5,val_recall_at_0p5,test_roc_auc,test_pr_auc,test_log_loss,test_brier_score,test_f1_at_0p5,test_fpr_at_0p5,test_precision_at_0p5,test_recall_at_0p5
rf,RandomForestClassifier,140168.0,35043.0,82332.0,42.0,0.9939811138039916,0.9970951111219751,0.09022610098952999,0.02830060071992652,0.9704806253118243,0.08205357142857143,0.9621202753390214,0.9789875435138196,0.9805495473634755,0.9842289519331174,0.2530885443210039,0.08223584179801768,0.8927043761777991,0.27554054054054056,0.8145048306981314,0.9875143386570193
logreg,LogisticRegression,140168.0,35043.0,82332.0,42.0,0.9835952844051262,0.9914289444157308,0.1582510421166364,0.04902946402573085,0.950203740465991,0.11392857142857143,0.9468599033816425,0.9535712787820325,0.9534451708834043,0.9649148995506075,0.2697748258023885,0.09391667109685878,0.8580509769564597,0.28962162162162164,0.797160704145372,0.929012618018177
lgbm,lgbm,,,,,,,,,,,,,,,,,,,,
