model_key,model_name,task,train_rows,val_rows,test_rows,n_features_raw,n_classes,fit_time_seconds,val_macro_f1,val_weighted_f1,test_macro_f1,test_weighted_f1,val_rows_original,val_rows_known_only,val_removed_unknown_rows,test_rows_original,test_rows_known_only,test_removed_unknown_rows
rf,RandomForestClassifier,multiclass_classification_attack_only_known_eval,95368.0,23843.0,45288.0,42.0,8,45.054407358169556,0.5729614091564963,0.7771530319106401,0.5395422735697082,0.7909177574655044,23843.0,23843.0,0.0,45332.0,45288.0,44.0
lgbm,lgbm,,,,,,8,,,,0.5315063780909879,0.786532065344621,,,,,,
