config_name,fit_time_seconds,val_pr_auc,val_roc_auc,val_f1,val_fpr,test_pr_auc,test_roc_auc,test_f1,test_fpr,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
xgb_cfg_2,4.284075699999903,0.9973108434448187,0.9943319449104558,0.9718676467525977,0.07535714285714286,0.9892409646276205,0.9853872790773656,0.8965869896526831,0.26197297297297295,700,0.03,8,3,0.85,0.85,1.5
xgb_cfg_1,2.4060455999999704,0.9970201522418005,0.9937370918987903,0.9705998626745178,0.07982142857142857,0.989067876375929,0.9851901487762359,0.8981620970171739,0.2573783783783784,400,0.05,6,1,0.8,0.8,1.0
xgb_cfg_3,1.7789004999999634,0.9968225363178435,0.9933248527570235,0.9700070718415907,0.081875,0.9886574181799702,0.9846377769059982,0.8981777268800354,0.257,350,0.07,5,1,0.9,0.9,1.0
