config_name,fit_time_seconds,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,val_f1_at_0p5,val_fpr_at_0p5,test_f1_at_0p5,test_fpr_at_0p5,mean_val_f1_target_fprs,mean_test_f1_target_fprs,mean_abs_test_target_drift,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
lgbm_v2_cfg_2,5.593181400000049,0.9975900554313898,0.994918963936705,0.9882151218065655,0.9839069492703681,0.9730180574669502,0.06991071428571428,0.89432883718598,0.2647027027027027,0.9439319419314796,0.9321305088407352,0.052639639639639635,900,0.03,127,-1,30,0.85,0.85,0.0,2.0
lgbm_v2_cfg_4,3.1868350999998256,0.9975336567056252,0.9947966590224144,0.9885918075674676,0.984415614469583,0.9734100191714595,0.07044642857142858,0.8950568968631465,0.2628108108108108,0.9424347980766465,0.9334349372499365,0.04933333333333333,700,0.04,95,10,25,0.8,0.8,0.2,1.5
lgbm_v2_cfg_1,2.2882383000001028,0.9975089533139772,0.9947449217649984,0.9887429072417333,0.9846308731854594,0.973145273859872,0.07151785714285715,0.8948867625524062,0.26375675675675675,0.9423255297368742,0.9339297478321739,0.049774774774774766,500,0.05,63,-1,20,0.8,0.8,0.0,1.0
lgbm_v2_cfg_3,1.3910326999998688,0.9971010293974341,0.9939120140831991,0.9888649273573457,0.9848486571147165,0.9712240694117892,0.07848214285714286,0.8977069474868868,0.2572162162162162,0.9358017965917792,0.9338586701903419,0.034594594594594595,400,0.07,31,8,40,0.9,0.9,0.5,2.0
