model_key,display_name,val_roc_auc,test_roc_auc,roc_auc_gap_test_minus_val,roc_auc_gap_abs,roc_auc_gap_level,val_pr_auc,test_pr_auc,pr_auc_gap_test_minus_val,pr_auc_gap_abs,pr_auc_gap_level,val_f1_at_0p5,test_f1_at_0p5,f1_gap_test_minus_val,f1_gap_abs,f1_gap_level,val_fpr_at_0p5,test_fpr_at_0p5,fpr_gap_test_minus_val,fpr_gap_abs,fpr_gap_level,val_precision_at_0p5,test_precision_at_0p5,val_recall_at_0p5,test_recall_at_0p5,val_log_loss,test_log_loss,val_brier_score,test_brier_score
rf_baseline,Random Forest Baseline,0.9939811138039916,0.9805495473634755,-0.013431566440516018,0.013431566440516018,moderate,0.9970951111219751,0.9842289519331174,-0.012866159188857695,0.012866159188857695,moderate,0.9704806253118243,0.8927043761777991,-0.07777624913402525,0.07777624913402525,high,0.08205357142857143,0.27554054054054056,0.1934869691119691,0.1934869691119691,high,0.9621202753390214,0.8145048306981314,0.9789875435138196,0.9875143386570193,0.09022610098952999,0.2530885443210039,0.02830060071992652,0.08223584179801768
rf_tuned,Random Forest Tuned,0.993864856636569,0.9804363935982218,-0.013428463038347216,0.013428463038347216,moderate,0.9969760235487013,0.9837913610218422,-0.013184662526859126,0.013184662526859126,moderate,0.9701504947202129,0.89267519416169,-0.07747530055852281,0.07747530055852281,high,0.08294642857142857,0.27572972972972976,0.19278330115830117,0.19278330115830117,high,0.9617144034617762,0.814411235014826,0.9787358973283563,0.9875805170740316,0.09288104008022997,0.25949595685673893,0.028355388301898977,0.08226088889697362
logreg_tuned,Logistic Regression Tuned,0.9838249227835663,0.954129816417494,-0.02969510636607231,0.02969510636607231,high,0.9915399406517726,0.9653641154511642,-0.02617582520060846,0.02617582520060846,high,0.9503724161017658,0.85915708499546,-0.09121533110630586,0.09121533110630586,high,0.11080357142857143,0.2859189189189189,0.17511534749034746,0.17511534749034746,high,0.9481902058197303,0.7992028091487141,0.9525646940401795,0.9288361422394776,0.15712134923062088,0.2682944073489499,0.04875219180657347,0.0934699220698908
logreg_baseline,Logistic Regression Baseline,0.9835952844051262,0.9534451708834043,-0.030150113521721922,0.030150113521721922,high,0.9914289444157308,0.9649148995506075,-0.02651404486512332,0.02651404486512332,high,0.950203740465991,0.8580509769564597,-0.09215276350953128,0.09215276350953128,high,0.11392857142857143,0.28962162162162164,0.1756930501930502,0.1756930501930502,high,0.9468599033816425,0.797160704145372,0.9535712787820325,0.929012618018177,0.1582510421166364,0.2697748258023885,0.04902946402573085,0.09391667109685878
lgbm_main,LightGBM Main,,,,,unknown,,,,,unknown,,,,,unknown,,,,,unknown,,,,,,,,
