config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,fit_time_seconds,val_roc_auc,val_pr_auc,val_log_loss,val_brier_score,val_f1_at_0p5,val_fpr_at_0p5,val_precision_at_0p5,val_recall_at_0p5,test_roc_auc,test_pr_auc,test_log_loss,test_brier_score,test_f1_at_0p5,test_fpr_at_0p5,test_precision_at_0p5,test_recall_at_0p5
rf_cfg_1,200,,2,1,sqrt,30.571669340133667,0.993864856636569,0.9969760235487013,0.09288104008022997,0.028355388301898977,0.9701504947202129,0.08294642857142857,0.9617144034617762,0.9787358973283563,0.9804363935982218,0.9837913610218422,0.25949595685673893,0.08226088889697362,0.89267519416169,0.27572972972972976,0.814411235014826,0.9875805170740316
rf_cfg_2,200,20.0,2,2,sqrt,13.82886028289795,0.9934082236625303,0.9968777337176448,0.1014898481256171,0.03202167295629319,0.9651753940010168,0.05205357142857143,0.9750481489407233,0.9555005662039173,0.9846985489636817,0.988563018763663,0.1910303700723362,0.06375022314181635,0.9179089726918075,0.18043243243243243,0.8685645659835016,0.9731977411100327
rf_cfg_3,200,30.0,2,4,sqrt,13.723507642745972,0.9933921699840026,0.9968638999479933,0.10391421243423218,0.03206378042835268,0.9662384855911434,0.055535714285714285,0.9735195197752139,0.9590655538313132,0.9844032060163931,0.9883759851645189,0.1964290086856626,0.06521553517025795,0.9141945641365595,0.1914054054054054,0.8617120987268609,0.9734845142504192
