split,bin,count,prob_mean,positive_rate,prob_min,prob_max
val,0,3505,0.00025537337043044325,0.0,7.472899532574887e-05,0.0004167653910385127
val,1,3504,0.0009888166278766747,0.0,0.0004168963586386669,0.0017918527862482052
val,2,3504,0.15357954829291082,0.11301369863013698,0.0017922171314191172,0.47756441615734124
val,3,3504,0.6978308250066458,0.7277397260273972,0.47764154879008947,0.8890624315110471
val,4,3505,0.958934136687049,0.9651925820256776,0.8890647294704289,0.9884293530521538
val,5,3506,0.9934910529908829,0.9980034227039362,0.9884333269271445,0.997350851139506
val,6,3517,0.998611622869826,1.0,0.9973521276561335,0.9992485546258991
val,7,3657,0.999498788810343,1.0,0.9992508808949717,0.9996690458924058
val,8,3336,0.9997680228461413,1.0,0.9996690828913712,0.9998424167598421
val,9,3505,0.9998890655618679,1.0,0.9998424446163243,0.9999463140994357
test,0,8234,0.0002564287153409176,0.0,6.533171260213136e-05,0.0004632044347764786
test,1,8233,0.0012486092274198988,0.0,0.000463341036697896,0.002824398842969296
test,2,8233,0.13348464320235368,0.026843192032066074,0.0028274974621273373,0.38750556872088165
test,3,8233,0.5317634173101498,0.18413700959553017,0.3875219401646576,0.6667887473885306
test,4,8233,0.7927384673261767,0.4015547188145269,0.6668839067711737,0.9102723425722687
test,5,8233,0.9661521434460911,0.8948135552046641,0.9102830659515266,0.9901909340253431
test,6,8248,0.9950731579297154,0.998666343355965,0.9901946044522871,0.998078183352782
test,7,8228,0.9987028615019884,1.0,0.9980816881704135,0.9992438726865903
test,8,8232,0.9995912546342102,1.0,0.9992458618641655,0.999787850126107
test,9,8225,0.9998586037309087,1.0,0.9997879074677412,0.9999465297949945
