bin_index,mean_predicted_probability,fraction_of_positives
0,0.0,5.882352941176471e-05
1,0.14630567695699057,0.03199481865284974
2,0.5426661494046047,0.18799081792920141
3,0.7890152767356827,0.4505004220426866
4,0.952220145320633,0.8739621771217713
5,0.9933596036563033,0.9891634980988593
6,0.999982752276068,0.9980320366132723
