selection_method,target_fpr,selected_threshold,val_threshold,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_fpr,val_tpr,val_tn,val_fp,val_fn,val_tp,test_threshold,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_fpr,test_tpr,test_tn,test_fp,test_fn,test_tp
best_val_f1,,0.52,0.52,0.9998613592569688,0.9998763791456902,0.9944802143223789,0.991765132124867,0.9972102030887541,0.0093377685304213,0.9972102030887541,373762,3523,1187,424292,0.52,0.999866296159865,0.9998808662358146,0.9946430685103606,0.9919333160358945,0.9973676664833434,0.009146907120857917,0.9973676664833434,373835,3451,1120,424358
target_fpr,0.001,0.8596281709628724,0.8596281709628724,0.9998613592569688,0.9998763791456902,0.9863890121947881,0.999088713060333,0.9740081179094621,0.0010018951190744398,0.9740081179094621,376907,378,11059,414420,0.8596281709628724,0.999866296159865,0.9998808662358146,0.986361109821691,0.9991873506425235,0.9738599880604872,0.0008932215878670293,0.9738599880604872,376949,337,11122,414356
target_fpr,0.005,0.7920640790355598,0.7920640790355598,0.9998613592569688,0.9998763791456902,0.9921575887208887,0.9955348057983635,0.9888032076788749,0.005001524046808116,0.9888032076788749,375398,1887,4764,420715,0.7920640790355598,0.999866296159865,0.9998808662358146,0.9922316084391052,0.9956410001561856,0.9888454867231679,0.0048822378778963435,0.9888454867231679,375444,1842,4746,420732
target_fpr,0.01,0.4884936465719627,0.4884936465719627,0.9998613592569688,0.9998763791456902,0.9944587144358044,0.9911906307349624,0.997748420016029,0.010000397577428204,0.997748420016029,373512,3773,958,424521,0.4884936465719627,0.999866296159865,0.9998808662358146,0.9945968485325518,0.991339838377895,0.9978753308044129,0.009830738484862942,0.9978753308044129,373577,3709,904,424574
target_fpr,0.02,0.0003741857984887811,0.0003741857984887811,0.9998613592569688,0.9998763791456902,0.991210291390605,0.9825737544021708,1.0,0.020000795154856407,1.0,369739,7546,0,425479,0.0003741857984887811,0.999866296159865,0.9998808662358146,0.991195261585412,0.9825442167759337,1.0,0.02003519876168212,1.0,369727,7559,0,425478
